user_id,time_to_50,time_to_90,std_time_50,final_size,strength,pagerank
814,1.0,1.0,0.0,1.0,0.0,0.00010643581920229089
4950,1.0,1.0,0.0,1.0,0.6459004066917511,0.00010698496612152475
839,1.0,1.0,0.0,1.0,0.0,0.00010643581920229089
234,1.08,1.08,0.3919183588453085,57.12,0.36392194941684486,0.00010675816635315603
7116,1.08,1.08,0.3919183588453085,57.24,0.3090002740100642,0.0001067037707029299
4924,1.16,1.16,0.5425863986500215,113.32,0.30213102379097506,0.00010669687898789198
6549,1.32,1.32,0.7332121111929344,225.8,0.8638766429008992,0.00010718447259016426
157,2.0,2.0,0.0,1405.16,665.8613459425706,0.0006219299637796624
165,2.0,2.0,0.0,1405.04,993.9571400473562,0.0008857773772911783
166,2.0,2.0,0.0,1405.32,356.82199672861987,0.0003791662494869687
169,2.0,2.0,0.0,1405.24,954.2275107971485,0.0008530278671821652
172,2.0,2.0,0.0,1404.8,391.13337150105605,0.0004061113044678506
174,2.0,2.0,0.0,1405.08,663.4141406356329,0.0006196564112842574
176,2.0,2.0,0.0,1405.16,356.0656028963859,0.0003785649460714282
7007,2.0,2.0,0.0,1405.36,510.80206154463326,0.0004992955296541787
7018,2.0,2.0,0.0,1405.08,993.191500709974,0.0008875113715568928
7020,2.0,2.0,0.0,1405.56,989.5800764822989,0.0008813207371772323
7036,2.0,2.0,0.0,1404.88,710.9385040198987,0.0006577175957174189
7043,2.0,2.0,0.0,1404.88,1036.5855363318221,0.0009255395331030801
7044,2.0,2.0,0.0,1405.2,454.4056700624014,0.0004551683882790329
7046,2.0,2.0,0.0,1405.24,965.0915108659848,0.000861939817110152
7054,2.0,2.0,0.0,1405.16,787.6425176251746,0.0007192746101582831
7056,2.0,2.0,0.0,1405.24,745.2151204705619,0.0006856061185234038
102,2.0,2.0,0.0,1405.32,772.1999742324557,0.000706902778003604
7085,2.0,2.0,0.0,1405.16,774.0028766846344,0.0007082842827772708
7086,2.0,2.0,0.0,1404.88,609.7516719894907,0.0005772236486479418
7087,2.0,2.0,0.0,1405.2,910.7253452209376,0.0008183072470430905
7094,2.0,2.0,0.0,1405.0,1004.2334869429744,0.0008945298921051758
7100,2.0,2.0,0.0,1405.04,589.4168984256559,0.0005615017901759476
7110,2.0,2.0,0.0,1405.16,693.6085478099501,0.0006443694673136963
7117,2.0,2.0,0.0,1405.08,954.5255960745358,0.000853435864249607
7121,2.0,2.0,0.0,1405.4,827.7191152675299,0.0007515540468694766
7122,2.0,2.0,0.0,1405.24,1044.0472669498317,0.0009307248674792629
7132,2.0,2.0,0.0,1405.24,645.4614778985451,0.0006056098770974097
7133,2.0,2.0,0.0,1405.16,978.8323185201923,0.0008732446369044112
7135,2.0,2.0,0.0,1404.96,798.8335645827543,0.0007315661381104752
7141,2.0,2.0,0.0,1405.16,890.3757562988168,0.0008021995693339786
