user_id,final_outbreak,std_outbreak,attack_rate,epidemic_probability,peak_infection,time_to_peak,duration,R0,growth_rate,strength,pagerank
4885,1406.16,0.9243376006633074,0.9965698086463501,1.0,1376.52,2.0,52.2,153.68,0.3088233523922133,783.196172829713,0.0007154450742201447
1731,1406.12,1.1426285485668561,0.9965414599574769,1.0,1381.12,2.0,51.32,102.24,0.3915230601851762,520.8428106939972,0.0005072249478627734
5742,1406.08,1.1634431657799191,0.9965131112686038,1.0,1381.56,2.0,55.88,74.0,0.45716152402491905,368.15409647917386,0.0003879660981417684
5085,1406.08,1.0166612021711068,0.9965131112686038,1.0,1366.16,2.0,50.52,40.4,0.5765705484466568,200.49512906882347,0.0002587960375625849
6211,1406.04,1.1128342194594842,0.9964847625797306,1.0,1373.32,2.0,51.84,167.28,0.29169823614742935,837.2838466344726,0.0007594375520851445
1481,1405.96,1.0762899237658967,0.9964280652019845,1.0,1375.44,2.0,51.16,169.04,0.2923574843392128,838.5249627290082,0.0007605355659668701
1314,1405.96,0.82365041127896,0.9964280652019845,1.0,1379.4,2.0,52.8,114.16,0.3711471734916881,596.443716036315,0.000566802980995195
6409,1405.92,0.9346657156438338,0.9963997165131113,1.0,1368.56,2.0,50.0,195.6,0.2621034851066858,987.77696718315,0.0008802279760779671
728,1405.92,0.8908422980528035,0.9963997165131113,1.0,1381.2,2.0,49.72,74.76,0.45465050144939234,379.10343038267916,0.0003965058735258188
3254,1405.92,0.844748483277715,0.9963997165131113,1.0,1375.56,2.0,53.32,162.56,0.29853816816843654,816.1736672837059,0.0007421636033140713
3160,1405.88,1.1070682002478438,0.9963713678242382,1.0,1370.24,2.0,53.28,207.4,0.24678887909858083,1029.991415063661,0.0009170216788550374
5797,1405.84,1.0071742649611337,0.9963430191353649,1.0,1372.4,2.0,51.8,182.08,0.2751247377734493,920.0260666415626,0.0008258254456776433
4660,1405.84,1.286234815265082,0.9963430191353649,1.0,1381.08,2.0,53.52,74.0,0.455779197240551,385.5658926328222,0.0004015523502136705
4529,1405.84,1.0461357464497616,0.9963430191353649,1.0,1381.36,2.0,52.28,100.76,0.3931309169066504,492.6803239621288,0.0004850932541959812
6736,1405.8,1.2,0.9963146704464918,1.0,1382.2,2.0,51.32,103.8,0.38827991708781445,501.4252265273165,0.0004919263579238637
1001,1405.8,0.8944271909999157,0.9963146704464918,1.0,1376.52,2.0,49.2,141.08,0.32402233047314255,700.0382686735161,0.0006493391744503722
2845,1405.76,1.0307278981380101,0.9962863217576187,1.0,1374.04,2.0,52.0,172.2,0.2868637434731782,864.7786559842616,0.0007839518371083184
5368,1405.76,1.0307278981380101,0.9962863217576187,1.0,1379.52,2.0,50.76,134.92,0.33501774170503174,682.5690272730328,0.0006350713935261438
5079,1405.76,0.9499473669630334,0.9962863217576187,1.0,1369.16,2.0,52.44,198.88,0.255094553282828,992.4729190032839,0.0008845419208866198
6979,1405.72,0.9173875952943773,0.9962579730687456,1.0,1371.52,2.0,50.52,192.8,0.26267593893415947,956.343290274796,0.0008546541107355362
5487,1405.72,0.8255906976220118,0.9962579730687456,1.0,1376.92,2.0,52.8,139.32,0.3275151850461231,696.3154508708581,0.0006468596134449796
1459,1405.72,1.1142710621747296,0.9962579730687456,1.0,1383.0,2.0,51.2,75.76,0.45221313385501494,388.0399298050779,0.0004034845631159307
