user_id,time_to_10,time_to_25,time_to_50,time_to_90,std_time_10,std_time_25,std_time_50,final_size,strength,pagerank,eigenvector_centrality,approximate_current_flow_betweenness,clustering
136,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6441081730764867,0.0001305315754471375,2.820756694467414e-05,6.916405507061786e-17,0.0
172,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.3142355356873285,0.00013244530587941893,2.140274471995475e-05,1.038544588155868e-06,0.6483351819138544
7007,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.60700191010575,0.0002263512470176617,5.393668334049209e-08,6.052391494983146e-17,0.0
6871,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.2842687698324897,0.00013125277721168452,5.770400550095586e-05,2.458902189014922e-07,0.6927375577901699
6806,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6829685596530671,0.00014373373227251544,5.23468225645329e-07,6.286017124695785e-17,0.0
6330,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6006257613265421,0.00013056885913788883,1.5724339303379925e-05,0.0,0.0
6435,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.221084034293602,0.00013128623330403084,6.276180721379623e-05,1.0893829932572157e-06,0.7032417682944778
6661,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6065167866130291,0.0001304364826583753,2.6752081576947224e-05,5.117161371603291e-17,0.0
6356,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6628700365894723,0.00013073644234630138,1.4645746135416648e-05,8.643127347450476e-17,0.0
5861,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6746657771046244,0.00013121697918607388,7.498003526997198e-06,6.727065176109306e-17,0.0
6249,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.2761203614980454,0.0001312852087505779,6.0195954874062634e-05,1.1876093872572425e-07,0.7108647168432422
6203,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7027155979976464,0.00014713050713124152,4.4278924236592306e-07,6.467768128371713e-17,0.0
328,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.480814087647003,0.00020752053547759824,7.631429293312934e-06,5.526824211293906e-06,0.7295575642294732
323,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6587372383057157,0.0001304947731158273,3.449736170725179e-05,6.568242359987974e-17,0.0
298,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.676573550717086,0.00020529239249208285,0.0001589694972992334,2.7833588563862404e-06,0.5138366911996081
261,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6719905557171706,0.00013071112338977565,1.6248559636985294e-05,7.215805317383911e-17,0.0
5400,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6091223542439004,0.00013045627272854343,2.4807360301984145e-05,7.475119209503474e-17,0.0
5335,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.58382885356551,0.0003043327326496905,9.753284081606513e-05,1.562740328716695e-06,0.3606593287105842
5697,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.646914946789543,0.00013080827703978006,1.6684742923223854e-05,8.435089775424574e-17,0.0
5999,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6578392022753727,0.0003299507837051744,1.550881492476953e-08,2.346206889814473e-16,0.0
3693,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6204182538881744,0.0001310817803287262,6.962646174231437e-06,0.0,0.0
555,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.85248423450242,0.0003236507079092274,6.335035716881954e-05,1.273606815543436e-07,0.23580820800858035
4317,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.4670257933742819,0.00013150107131719302,5.9216454807067966e-05,1.4397006115244864e-07,0.7572158118525281
4451,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.2517565153869445,0.0001616227780782546,3.239068597979632e-05,4.0685989735196975e-07,0.6217650049183313
4715,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.2769725279324828,0.00013130734109145783,4.644192884981423e-05,1.65787027421296e-05,0.6948421337332931
4529,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7730003733120646,0.00013082801500272865,2.0507592812293654e-05,7.707555457671727e-17,0.0
4615,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.2556059698689883,0.00013121212069461025,6.237823492251776e-05,5.765025123083108e-08,0.7242384659861021
4446,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6494012355719555,0.00013047622554622477,3.1564465699189936e-05,9.961774545125854e-17,0.0
4865,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6357722076816341,0.00013078825120168175,1.6397357791069083e-05,4.876353052672631e-17,0.0
5016,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.2337424975038154,0.00013129084560799565,4.932721171698591e-05,9.467437614906857e-08,0.6330981261100443
4971,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.3318088666567887,0.00013140420735923878,4.6277523231970145e-05,2.676617258484326e-07,0.69209822445746
5062,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.1532985970775136,0.00023154950990284909,1.2397838181859255e-05,1.6113654522338922e-05,0.4693913687069961
3828,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6129477413741949,0.00013044362816220926,2.7262672108672446e-05,2.820774063727788e-17,0.0
4422,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.1549494415052317,0.0004316436269527075,3.339636364231071e-05,2.1185118867609852e-13,0.6438716265106288
2123,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6002935089208936,0.00013043097696574638,2.6117362190942424e-05,3.222962775897648e-17,0.0
1761,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6238895348504704,0.00014057804849158697,5.532331712807985e-07,7.656341314805121e-17,0.0
1796,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.2972771874732203,0.00013124165865569077,5.890400691572755e-05,7.419163759177811e-09,0.6979326275247848
1623,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6289627147700512,0.00013044957047188955,3.05900361387632e-05,0.0,0.0
1459,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6758270558751468,0.00013058896891473073,2.3410270314703487e-05,6.738644239761331e-17,0.0
2367,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.700616940118507,0.00013062345333986523,2.4278907257494497e-05,8.597936212806194e-17,0.0
2724,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6089375147501638,0.00013042293695295827,3.148292996003866e-05,0.0,0.0
